Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Granby,"""premier ministre""",1,Granby Express,Vaccin: vers un été plus «normal» à quelques conditions près selon Trudeau,2021-05-15,82,https://www.granbyexpress.com/2021/05/15/vaccin-vers-un-ete-plus-normal-a-quelques-conditions-pres-selon-trudeau/,2021-08-05 13:47:10,national
Granby,"""premier ministre""",2,Radio-Canada.ca,Comme Churchill en 1945?,2021-05-03,94,https://ici.radio-canada.ca/amp/1789774/auger-michelc-analyse-legault-crise-logement,2021-08-05 13:47:10,national
Granby,"""premier ministre""",3,Granby Express,COVID-19: une grosse partie de l'Estrie vire au orange,2021-05-25,72,https://www.granbyexpress.com/2021/05/25/covid-19-une-grosse-partie-de-lestrie-vire-au-orange/,2021-08-05 13:47:11,national
Granby,"""premier ministre""",4,Granby Express,«On s'en va dans la bonne direction»_le premier ministre François Legault,2021-01-21,196,https://www.granbyexpress.com/2021/01/21/on-sen-va-dans-la-bonne-direction_le-premier-ministre-francois-legault/,2021-08-05 13:47:11,national
Granby,"""premier ministre""",5,La Voix de l'est - Groupe Capitales Médias,La Montérégie et l'Estrie passent en zone orange lundi,2021-05-25,72,https://www.lavoixdelest.ca/actualites/la-monteregie-et-lestrie-passent-en-zone-orange-lundi-36653f281a97c970888ab2fceb8b68a3,2021-08-05 13:47:11,national
Granby,"""premier ministre""",6,La Presse,À la mémoire de la petite fille de Granby,2021-05-04,93,https://www.lapresse.ca/debats/editoriaux/2021-05-04/a-la-memoire-de-la-petite-fille-de-granby.php,2021-08-05 13:47:11,national
Granby,"""premier ministre""",7,La Presse,Garçon martyrisé à Granby | « On doit se poser des questions de fond sur la DPJ »,2020-11-26,252,https://www.lapresse.ca/actualites/politique/2020-11-26/garcon-martyrise-a-granby/on-doit-se-poser-des-questions-de-fond-sur-la-dpj.php,2021-08-05 13:47:11,national
Granby,"""premier ministre""",8,La Voix de l'est - Groupe Capitales Médias,"Pas de courses à l'Autodrome avant la fin juin, au mieux",2021-04-21,106,https://www.lavoixdelest.ca/sports/pas-de-courses-a-lautodrome-avant-la-fin-juin-au-mieux-8cbc311f12d57ee5aee30f17a2a9509d,2021-08-05 13:47:12,national
Granby,"""premier ministre""",9,La Voix de l'est - Groupe Capitales Médias,Fitzgibbon déjà près d'un retour? | Politique | Actualités,2021-06-03,63,https://www.lavoixdelest.ca/actualites/politique/fitzgibbon-deja-pres-dun-retour-4bc21a2240e0c449175e897f2c9bfbe3,2021-08-05 13:47:12,national
Granby,"""premier ministre""",10,Granby Express,Journée de commémoration: pluie d'hommages pour les travailleurs et les victimes de la COVID-19,2021-03-11,147,https://www.granbyexpress.com/2021/03/11/journee-de-commemoration-pluie-dhommages-pour-les-travailleurs-et-les-victimes-de-la-covid-19/,2021-08-05 13:47:12,national
Granby,"""premier ministre""",11,ICI.Radio-Canada.ca,Un homme de Cowansville arrêté pour des menaces au premier ministre François Legault,2020-12-04,244,https://ici.radio-canada.ca/nouvelle/1754662/menaces-mort-francois-legault-premier-ministre-quebec-cowansville-sq,2021-08-05 13:47:12,national
Granby,"""premier ministre""",12,Granby Express,Temps des Fêtes: la Police de Granby va se faire plus visible,2020-12-18,230,https://www.granbyexpress.com/2020/12/18/temps-des-fetes-la-police-de-granby-va-se-faire-plus-visible/,2021-08-05 13:47:12,national
Granby,"""premier ministre""",13,Granby Express,Certains assouplissements au confinement sont à prévoir annonce François Legault,2021-01-26,191,https://www.granbyexpress.com/2021/01/26/certains-assouplissements-au-confinement-sont-a-prevoir-annonce-francois-legault/,2021-08-05 13:47:13,national
Granby,"""premier ministre""",14,Granby Express,François Legault impose un couvre-feu,2021-01-06,211,https://www.granbyexpress.com/2021/01/06/francois-legault-impose-un-couvre-feu/,2021-08-05 13:47:13,national
Granby,"""premier ministre""",15,Granby Express,"Transfert en santé: les provinces ne peuvent pas attendre la fin de la pandémie, dit François Legault",2021-03-27,131,https://www.granbyexpress.com/2021/03/27/transfert-en-sante-les-provinces-ne-peuvent-pas-attendre-la-fin-de-la-pandemie-dit-francois-legault/,2021-08-05 13:47:13,national
Granby,"""premier ministre""",16,Le Journal de Montréal,"Loyer à 500-600$ : malgré les excuses de Legault, le FRAPRU dénonce une impression de déconnexion",2021-04-29,98,https://www.journaldemontreal.com/2021/04/29/loyer-a-500-600--malgre-les-excuses-de-legault-le-frapru-denonce-une-impression-de-deconnexion,2021-08-05 13:47:13,national
Granby,"""premier ministre""",17,La Voix de l'est - Groupe Capitales Médias,Un sondage classe le rendement des premiers ministres canadiens pendant la pandémie,2020-12-29,219,https://www.lavoixdelest.ca/actualites/covid-19/un-sondage-classe-le-rendement-des-premiers-ministres-canadiens-pendant-la-pandemie-53a91bf4ebfb56a0843526abd6dc4c1c,2021-08-05 13:47:14,national
Granby,"""premier ministre""",18,La Voix de l'est - Groupe Capitales Médias,"Naftali Bennett devient premier ministre d'Israël, Netanyahu écarté",2021-06-13,53,https://www.lavoixdelest.ca/actualites/monde/naftali-bennett-devient-premier-ministre-disrael-netanyahu-ecarte-0abe2abc57c99d5d551b2f154a28c735,2021-08-05 13:47:14,national
