Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Fermont ,accident,1,Le Soleil - Groupe Capitales Médias,Accident de travail mortel chez ArcelorMittal près de Fermont,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-de-travail-mortel-chez-arcelormittal-pres-de-fermont-039a962767a4463fbb75d641c75551cb,2021-07-15 12:19:18,local
Fermont ,accident,2,ICI.Radio-Canada.ca,"Accident de travail mortel à la mine du mont Wright, à Fermont",,,https://ici.radio-canada.ca/nouvelle/1312544/arcelor-mittal-cnesst-mort,2021-07-15 12:19:18,local
Fermont ,accident,3,Journal Le Manic,Accident de travail mortel à Fermont,,,https://www.lemanic.ca/2019/09/23/accident-de-travail-mortel-a-fermont/,2021-07-15 12:19:19,local
Fermont ,accident,4,Le Journal de Québec,Onde de choc à Fermont après la mort d'un employé d'ArcelorMittal,,,https://www.journaldequebec.com/2019/09/23/un-travailleur-minier-meurt-a-fermont-1,2021-07-15 12:19:19,local
Fermont ,accident,5,TVA Nouvelles,Un travailleur perd la vie à la mine du Mont-Wright de Fermont,,,https://www.tvanouvelles.ca/2019/09/23/un-travailleur-minier-meurt-a-fermont,2021-07-15 12:19:19,local
Fermont ,accident,6,ICI.Radio-Canada.ca,Accident mortel sur la route 389,,,https://ici.radio-canada.ca/nouvelle/1153436/accident-de-travail-mortel-route-389-fermont,2021-07-15 12:19:20,local
Fermont ,accident,7,ICI.Radio-Canada.ca,L'incendie d'une foreuse cause la fermeture de la route 389 pendant 12 heures,,,https://ici.radio-canada.ca/nouvelle/1718702/route-389-labrador-quebec-fermont-accident-,2021-07-15 12:19:20,local
Fermont ,accident,8,Le Journal de Québec,La grève d'ArcelorMittal se poursuit à Fermont,2021-05-17,59,https://www.journaldequebec.com/2021/05/17/la-greve-darcelormittal-se-poursuit-a-fermont,2021-07-15 12:19:20,local
Fermont ,accident,9,ICI.Radio-Canada.ca,Décès d'un bambin à Fermont : le coroner s'interroge sur la qualité des soins reçus,2021-01-22,174,https://ici.radio-canada.ca/nouvelle/1765086/olivier-degarie-cyr-mort-medecin-cisss-cote-nord-rapport-causes,2021-07-15 12:19:20,local
Fermont ,accident,10,ICI.Radio-Canada.ca,Enquête sur deux morts violentes survenues à Fermont,,,https://ici.radio-canada.ca/nouvelle/1145021/mort-meurtre-fermont-coup-feu-crime-accident-victime,2021-07-15 12:19:20,local
