Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
L'Islet,"""premier ministre""",1,CIMT-CHAU,Bernard Généreux s'oppose au déclenchement des élections,2021-08-08,0,https://cimtchau.ca/nouvelles/bernard-genereux-soppose-au-declenchement-des-elections/,2021-08-08 14:13:04,national
L'Islet,"""premier ministre""",2,CIMT-CHAU,Justin Trudeau tarde à appliquer la loi C-208,2021-07-14,25,https://cimtchau.ca/nouvelles/justin-trudeau-tarde-a-appliquer-la-loi-c-208/,2021-08-08 14:13:04,national
L'Islet,"""premier ministre""",3,ICI.Radio-Canada.ca,"Zone rouge maintenue pour le sud de la Beauce, Montmagny et L'Islet | Coronavirus",2021-05-25,75,https://ici.radio-canada.ca/nouvelle/1795885/deconfinement-quebec-capitale-nationale-chaudiere-apppalaches-zone-alerte-rouge-orange,2021-08-08 14:13:04,national
L'Islet,"""premier ministre""",4,ICI.Radio-Canada.ca,L'ensemble de Chaudière-Appalaches bascule en rouge foncé,2021-04-13,117,https://ici.radio-canada.ca/nouvelle/1784533/palier-rouge-mesure-urgence-chaudiere-appalaches-covid-19,2021-08-08 14:13:04,national
L'Islet,"""premier ministre""",5,Le Soleil - Groupe Capitales Médias,Un Québécois sur trois restera en rouge [VIDÉO],2021-05-25,75,https://www.lesoleil.com/actualite/covid-19/un-quebecois-sur-trois-restera-en-rouge-video-ab7e5fc879771a62ba240d1db0062333,2021-08-08 14:13:05,national
L'Islet,"""premier ministre""",6,Le Placoteux,L'Islet passe au « rouge foncé » - Journal Le Placoteux,2021-04-13,117,https://leplacoteux.com/lislet-passe-au-rouge-fonce/,2021-08-08 14:13:05,national
L'Islet,"""premier ministre""",7,ICI.Radio-Canada.ca,"Les MRC des Etchemins, de L'Islet et de Montmagny évitent le palier rouge",2020-09-30,312,https://ici.radio-canada.ca/nouvelle/1737787/mrc-zone-orange-rouge-etchemins-lislet-montmagny,2021-08-08 14:13:05,national
L'Islet,"""premier ministre""",8,Radio-Canada.ca,Réouverture des écoles secondaires et des commerces non essentiels à Québec,2021-05-04,96,https://ici.radio-canada.ca/nouvelle/1790276/covid-19-capitale-nationale-chaudiere-appalaches-couvre-feu-mesures-sanitaires,2021-08-08 14:13:05,national
L'Islet,"""premier ministre""",9,Beauce-Média,COVID-19 |En attendant l'annonce du premier ministre Legault,2021-05-18,82,https://www.beaucemedia.ca/2021/05/18/covid-19-en-attendant-lannonce-du-premier-ministre-legault/,2021-08-08 14:13:06,national
L'Islet,"""premier ministre""",10,Le Journal de Montréal,COVID-19: Des élus déçus et résignés dans L'Islet et Charlevoix,2021-02-17,172,https://www.journaldemontreal.com/2021/02/17/covid-19-pas-de-cas-actif-et-toujours-en-rouge-dans-lislet-et-charlevoix,2021-08-08 14:13:06,national
L'Islet,"""premier ministre""",11,La Voix du Sud,"Actualités Chaudière-Appalaches passera en zone jaune, sauf…",2021-06-08,61,https://www.lavoixdusud.com/2021/06/08/chaudiere-appalaches-passera-en-zone-jaune-sauf/,2021-08-08 14:13:06,national
L'Islet,"""premier ministre""",12,Le Placoteux,L'Islet retourne en zone rouge « ordinaire » lundi - Journal Le Placoteux,2021-05-04,96,https://leplacoteux.com/lislet-retourne-en-zone-rouge-ordinaire-lundi/,2021-08-08 14:13:07,national
L'Islet,"""premier ministre""",13,CIMT-CHAU,Chambre de commerce Kamouraska-L'Islet : entre espoir et déception face au plan de déconfinement,2021-05-19,81,https://cimtchau.ca/nouvelles/chambre-de-commerce-kamouraska-lislet-entre-espoir-et-deception-face-au-plan-de-deconfinement/,2021-08-08 14:13:07,national
L'Islet,"""premier ministre""",14,Le Devoir,COVID-19: les nouveaux assouplissements aux mesures sanitaires en bref,2021-05-04,96,https://www.ledevoir.com/societe/sante/600068/les-nouveaux-assouplissements-aux-mesures-sanitaires-en-bref,2021-08-08 14:13:07,national
