Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Victoriaville,"""premier ministre""",1,La Nouvelle Union,"Interprète : un métier méconnu, mais indispensable",2021-07-21,25,https://www.lanouvelle.net/2021/07/21/interprete-un-metier-meconnu-mais-indispensable/,2021-08-15 14:26:12,national
Victoriaville,"""premier ministre""",2,La Nouvelle Union,Communautés autochtones : Victoriaville affiche sa solidarité,2021-06-30,46,https://www.lanouvelle.net/2021/06/30/communautes-autochtones-victoriaville-affiche-sa-solidarite/,2021-08-15 14:26:12,national
Victoriaville,"""premier ministre""",3,La Nouvelle Union,Le premier ministre comme dessert,2021-06-10,66,https://www.lanouvelle.net/2021/06/10/le-premier-ministre-comme-dessert/,2021-08-15 14:26:12,national
Victoriaville,"""premier ministre""",4,Le Nouvelliste - Groupe Capitales Médias,La Mauricie et le Centre-du-Québec données en exemple par le premier ministre,2021-04-01,136,https://www.lenouvelliste.ca/actualites/covid-19/la-mauricie-et-le-centre-du-quebec-donnees-en-exemple-par-le-premier-ministre-caf0d5b0ae9dc142963d171fb05e0ab1,2021-08-15 14:26:13,national
Victoriaville,"""premier ministre""",5,La Nouvelle Union,Gestion de la pandémie : le premier ministre du Québec se défend,2020-10-29,290,https://www.lanouvelle.net/2020/10/29/gestion-de-la-pandemie-le-premier-ministre-du-quebec-se-defend/,2021-08-15 14:26:13,national
Victoriaville,"""premier ministre""",6,Radio-Canada.ca,« Le Québec se souvient de toutes ces personnes qui sont parties trop vite » | Coronavirus,2021-03-12,156,https://ici.radio-canada.ca/nouvelle/1776576/quebec-covid-commemoration-ceremonie-morts-francois-legault,2021-08-15 14:26:13,national
Victoriaville,"""premier ministre""",7,Le Journal de Québec,Hockey Les Tigres sont champions,2021-06-05,71,https://www.journaldequebec.com/2021/06/05/les-tigres-sont-champions,2021-08-15 14:26:14,national
Victoriaville,"""premier ministre""",8,La Nouvelle Union,"COVID-19 : assouplissement progressif des mesures pour tous, à partir du 28 mai",2021-05-18,89,https://www.lanouvelle.net/2021/05/18/covid-19-assouplissement-progressif-des-mesures-pour-tous-a-partir-du-28-mai/,2021-08-15 14:26:14,national
Victoriaville,"""premier ministre""",9,La Nouvelle Union,COVID-19 : le premier ministre Legault continue d'appeler à la prudence,2021-03-09,159,https://www.lanouvelle.net/2021/03/09/covid-19-le-premier-ministre-legault-continue-dappeler-a-la-prudence/,2021-08-15 14:26:14,national
Victoriaville,"""premier ministre""",10,La Nouvelle Union,Un cas de variant détecté au Collège Clarétain,2021-04-06,131,https://www.lanouvelle.net/2021/04/06/un-cas-de-variant-detecte-au-college-claretain/,2021-08-15 14:26:14,national
Victoriaville,"""premier ministre""",11,La Nouvelle Union,Variants : Québec resserre certaines mesures,2021-04-06,131,https://www.lanouvelle.net/2021/04/06/variants-quebec-resserre-certaines-mesures/,2021-08-15 14:26:14,national
Victoriaville,"""premier ministre""",12,La Nouvelle Union,COVID-19 : le premier ministre Legault remercie les Québécois,2020-10-20,299,https://www.lanouvelle.net/2020/10/20/covid-19-le-premier-ministre-legault-remercie-les-quebecois/,2021-08-15 14:26:14,national
Victoriaville,"""premier ministre""",13,La Nouvelle Union,La région passe en zone jaune dès lundi,2021-06-01,75,https://www.lanouvelle.net/2021/06/01/la-region-passe-en-zone-jaune-des-lundi/,2021-08-15 14:26:15,national
