Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Trois-Pistoles,accident,1,ICI.Radio-Canada.ca,Le capitaine de l'Héritage 1 souhaite moins de véhicules au quai de Trois-Pistoles,2021-07-20,26,https://ici.radio-canada.ca/nouvelle/1810452/traversier-trois-pistoles-vehicules-reglementation-circulation,2021-08-15 12:36:51,local
Trois-Pistoles,accident,2,Info Dimanche,Capotage d'un VTT à Saint-Simon-de-Rimouski | infodimanche.com,2021-08-08,7,https://www.infodimanche.com/actualites/faits-divers/433774/capotage-dun-vtt-a-saint-simon-de-rimouski,2021-08-15 12:36:52,local
Trois-Pistoles,accident,3,CIMT-CHAU,Les autorités dans l'obligation de resserrer les règles de sécurité au quai de Trois-Pistoles,2021-08-07,8,https://cimtchau.ca/nouvelles/les-autorites-dans-lobligation-de-resserrer-les-regles-de-securite-au-quai-de-trois-pistoles/,2021-08-15 12:36:52,local
Trois-Pistoles,accident,4,TVA Nouvelles,Un piéton heurté mortellement dans le Bas-Saint-Laurent,2021-07-02,44,https://www.tvanouvelles.ca/2021/07/02/un-pieton-heurte-mortellement-dans-le-bas-saint-laurent,2021-08-15 12:36:52,local
Trois-Pistoles,accident,5,Le Devoir,Série «Routes mythiques»: l'interminable autoroute 20,2021-08-13,2,https://www.ledevoir.com/societe/transports-urbanisme/624633/routes-mythiques-l-interminable-autoroute-20,2021-08-15 12:36:52,local
Trois-Pistoles,accident,6,Info Dimanche,Accident à Notre-Dame-des-Neiges | infodimanche.com,2021-01-08,219,https://www.infodimanche.com/actualites/faits-divers/414822/accident-a-notre-dame-des-neiges,2021-08-15 12:36:53,local
Trois-Pistoles,accident,7,Info Dimanche,Collision à Trois-Pistoles | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/380502/collision-a-trois-pistoles,2021-08-15 12:36:53,local
Trois-Pistoles,accident,8,Info Dimanche,Un accident fait trois morts à Trois-Pistoles | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/276621/un-accident-fait-trois-morts-a-trois-pistoles,2021-08-15 12:36:53,local
Trois-Pistoles,accident,9,Info Dimanche,Poursuite policière : trois suspects prennent la fuite à pied à Trois-Pistoles | infodimanche.com,2021-01-06,221,https://www.infodimanche.com/actualites/faits-divers/414544/poursuite-policiere-trois-suspects-prennent-la-fuite-a-pied-a-trois-pistoles,2021-08-15 12:36:53,local
Trois-Pistoles,accident,10,Info Dimanche,Courte poursuite policière entre Trois-Pistoles et L'Isle-Verte | infodimanche.com,2021-04-20,117,https://www.infodimanche.com/actualites/faits-divers/423758/courte-poursuite-policiere-entre-trois-pistoles-et-lisle-verte,2021-08-15 12:36:54,local
Trois-Pistoles,accident,11,Info Dimanche,Accident impliquant un autobus et une voiture | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/347342/accident-impliquant-un-autobus-et-une-voiture,2021-08-15 12:36:54,local
Trois-Pistoles,accident,12,ICI.Radio-Canada.ca,Accident mortel à Trois-Pistoles : une distraction du conducteur,,,https://ici.radio-canada.ca/nouvelle/761926/accident-mortel-rapport-coroner-distraction-conducteur,2021-08-15 12:36:55,local
Trois-Pistoles,accident,13,Le Journal de Québec,L'Est-du-Québec y goûte,2020-12-06,252,https://www.journaldequebec.com/2020/12/06/tempete-de-neige-intense-dans-lest-du-quebec,2021-08-15 12:36:55,local
Trois-Pistoles,accident,14,Info Dimanche,Accident sur la route 132 à Notre-Dame-des-Neiges | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/366159/accident-sur-la-route-132-a-notre-dame-des-neiges,2021-08-15 12:36:55,local
Trois-Pistoles,accident,15,Info Dimanche,Un camion-citerne impliqué dans un accident sur la route 132 | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/359019/un-camion-citerne-implique-dans-un-accident-sur-la-route-132,2021-08-15 12:36:55,local
Trois-Pistoles,accident,16,CIMT-CHAU,Perquisition de stupéfiants à Trois-Pistoles - TVA CIMT CHAU,2021-06-11,65,https://cimtchau.ca/nouvelles/perquisition-de-stupefiants-a-trois-pistoles/,2021-08-15 12:36:55,local
Trois-Pistoles,accident,17,CIMT-CHAU,MISE À JOUR | Accident mortel de kitesurf à L'Isle-aux-Coudres,2021-07-04,42,https://cimtchau.ca/nouvelles/grave-accident-de-kitesurf-a-lisle-aux-coudres/,2021-08-15 12:36:56,local
Trois-Pistoles,accident,18,CIMT-CHAU,Accident entre deux camions à Causapscal - TVA CIMT CHAU,2021-03-02,166,https://cimtchau.ca/nouvelles/accident-entre-deux-camions-a-causapscal/,2021-08-15 12:36:56,local
Trois-Pistoles,accident,19,CIMT-CHAU,Autoroute 20 : Accident mineur entre deux motocyclistes et un chevreuil à Rivière-du-Loup,2021-06-07,69,https://cimtchau.ca/nouvelles/autoroute-20-accident-mineur-entre-deux-motocyclistes-et-un-chevreuil-a-riviere-du-loup/,2021-08-15 12:36:56,local
Trois-Pistoles,accident,20,Info Dimanche,Congestion sur la route 132 à Notre-Dame-des-Neiges | infodimanche.com,,,https://www.infodimanche.com/actualites/actualite/399467/congestion-sur-la-route-132-a-notre-dame-des-neiges,2021-08-15 12:36:56,local
Trois-Pistoles,accident,21,CIMT-CHAU,Deux morts et un blessé grave dans un accident à Caplan,2021-06-28,48,https://cimtchau.ca/nouvelles/deux-morts-et-un-blesse-grave-dans-un-accident-a-caplan/,2021-08-15 12:36:56,local
Trois-Pistoles,accident,22,CIMT-CHAU,Un accident de moto fait deux blessés sur l'autoroute 85,2021-06-25,51,https://cimtchau.ca/nouvelles/un-accident-de-moto-fait-deux-blesses-sur-lautoroute-85/,2021-08-15 12:36:57,local
Trois-Pistoles,accident,23,Le Soleil - Groupe Capitales Médias,Grave accident sur la 132 au Bas-Saint-Laurent,,,https://www.lesoleil.com/actualite/en-region/grave-accident-sur-la-132-au-bas-saint-laurent-c6021fcaeb421d6f8d39536246211aee,2021-08-15 12:36:57,local
Trois-Pistoles,accident,24,CIMT-CHAU,Un accident fait deux blessés à Percé - TVA CIMT CHAU,2021-06-30,46,https://cimtchau.ca/nouvelles/un-accident-fait-deux-blesses-a-perce/,2021-08-15 12:36:57,local
Trois-Pistoles,accident,25,CIMT-CHAU,Grave accident de travail à l'usine de Sciage Kamouraska,2021-03-26,142,https://cimtchau.ca/nouvelles/grave-accident-de-travail-a-lusine-de-sciage-kamouraska/,2021-08-15 12:36:57,local
